"Goal","Change and Growth",""
"Goal","Connections to Community",""
"Goal","Life and Work Plan",""
"Outcome","CG6.1","Investigate the influence of a positive self-image on one's life."
"Outcome","CG6.2","Analyze the benefits of developing personal competence in building healthy relationships (i.e., emotional, spiritual, mental, and physical)."
"Outcome","CC6.1","Investigate various aspects of careers and their requirements."
"Outcome","CC6.2","Investigate and compile data to explain ways work contributes to individuals and the community."
"Outcome","LW6.1","Examine effective practices such as responsible decision making, cooperation, and accepting diversity and predict their continued importance in one's own career."
"Outcome","LW6.2","Investigate the interrelationship of life roles."
